name,url,
Homer Simpson, https://vignette.wikia.nocookie.net/simpsons/images/b/bd/Homer_Simpson.png/revision/latest/scale-to-width-down/72?cb=20140126234206,
Marge Simpson, https://vignette.wikia.nocookie.net/simpsons/images/4/4d/MargeSimpson.png/revision/latest/scale-to-width-down/78?cb=20180314071936,
Bart Simpson, https://vignette.wikia.nocookie.net/simpsons/images/6/65/Bart_Simpson.png/revision/latest/scale-to-width-down/87?cb=20180319061933,
Lisa Simpson, https://vignette.wikia.nocookie.net/simpsons/images/5/57/Lisa_Simpson2.png/revision/latest/scale-to-width-down/74?cb=20180319000458,
Maggie Simpson, https://vignette.wikia.nocookie.net/simpsons/images/8/89/Maggie.png/revision/latest/scale-to-width-down/87?cb=20090115172358,
Abraham Simpson II, https://vignette.wikia.nocookie.net/simpsons/images/a/a9/Abraham_Simpson.png/revision/latest/scale-to-width-down/75?cb=20151011181838,
Ned Flanders, https://vignette.wikia.nocookie.net/simpsons/images/8/84/Ned_Flanders.png/revision/latest/scale-to-width-down/115?cb=20100513160156,
Charles Montgomery Burns, https://vignette.wikia.nocookie.net/simpsons/images/a/a7/Montgomery_Burns.png/revision/latest/scale-to-width-down/121?cb=20100602062705,
Krusty the Clown, https://vignette.wikia.nocookie.net/simpsons/images/e/e5/Krusty_The_Clown.png/revision/latest/scale-to-width-down/106?cb=20180630040309,
Moe Szyslak, https://vignette.wikia.nocookie.net/simpsons/images/8/80/Moe_Szyslak.png/revision/latest/scale-to-width-down/125?cb=20170101190543,
Seymour Skinner, https://vignette.wikia.nocookie.net/simpsons/images/3/3a/Seymour_Skinner.png/revision/latest/scale-to-width-down/104?cb=20151011181559,
Milhouse Van Houten, https://vignette.wikia.nocookie.net/simpsons/images/1/11/Milhouse_Van_Houten.png/revision/latest/scale-to-width-down/174?cb=20100602035045,
Edna Krabappel, https://vignette.wikia.nocookie.net/simpsons/images/7/76/Edna_Krabappel.png/revision/latest/scale-to-width-down/115?cb=20180723220624,
Apu Nahasapeemapetilon, https://vignette.wikia.nocookie.net/simpsons/images/7/7d/Apu_Nahasapeemapetilon.png/revision/latest/scale-to-width-down/70?cb=20171027210822,
Eleanor Abernathy, https://vignette.wikia.nocookie.net/simpsons/images/b/b5/230px-Eleanor_Abernathy.png/revision/latest/scale-to-width-down/80?cb=20140817113422,
Akira, https://vignette.wikia.nocookie.net/simpsons/images/5/56/Akira.png/revision/latest/scale-to-width-down/68?cb=20141125003621,
Ms. Albright, https://vignette.wikia.nocookie.net/simpsons/images/8/8e/Ms._Albright2.JPG/revision/latest/scale-to-width-down/103?cb=20131017031338,
Woody Allen, https://vignette.wikia.nocookie.net/simpsons/images/b/b9/Woody_Allen.png/revision/latest/scale-to-width-down/121?cb=20141128181439,
Tattoo Annie, https://vignette.wikia.nocookie.net/simpsons/images/a/af/Tattoo.png/revision/latest/scale-to-width-down/117?cb=20130329093024,
Aristotle Amadopolis, https://vignette.wikia.nocookie.net/simpsons/images/4/41/Aristotle_Amadopolis.png/revision/latest/scale-to-width-down/91?cb=20180322134458,
State Comptroller Atkins, https://vignette.wikia.nocookie.net/simpsons/images/0/0a/StateComptrollerAtkins.jpg/revision/latest/scale-to-width-down/133?cb=20091220161252,
Mary Bailey, https://vignette.wikia.nocookie.net/simpsons/images/0/05/Mary_bailey.jpg/revision/latest/scale-to-width-down/133?cb=20120719013226,
Jasper Beardly, https://vignette.wikia.nocookie.net/simpsons/images/0/08/Jasper_Beardly.png/revision/latest/scale-to-width-down/84?cb=20130707032356,
Benjamin (nerd), https://vignette.wikia.nocookie.net/simpsons/images/9/9e/BenjaminNerd.png/revision/latest/scale-to-width-down/68?cb=20170520032000,
Bill (KBBL DJ), https://vignette.wikia.nocookie.net/simpsons/images/b/bb/IMG_1786.PNG/revision/latest/scale-to-width-down/133?cb=20170108124103,
Billy (actor), https://vignette.wikia.nocookie.net/simpsons/images/e/e9/Billy_%28Actor%29.png/revision/latest/scale-to-width-down/133?cb=20110902133242,
Birch Barlow, https://vignette.wikia.nocookie.net/simpsons/images/5/53/Birch_barlow.jpg/revision/latest/scale-to-width-down/133?cb=20070609012327,
Black Weasel, https://vignette.wikia.nocookie.net/simpsons/images/8/88/Black_Weasel.png/revision/latest/scale-to-width-down/113?cb=20170101224739,
Blue-Haired Lawyer, https://vignette.wikia.nocookie.net/simpsons/images/0/0b/Blue-haired_lawyer2.png/revision/latest/scale-to-width-down/49?cb=20140818031603,
Patty Bouvier, https://vignette.wikia.nocookie.net/simpsons/images/d/d5/Patty_Bouvier1.png/revision/latest/scale-to-width-down/73?cb=20090329031750,
Selma Bouvier, https://vignette.wikia.nocookie.net/simpsons/images/b/ba/Selma_Bouvier.png/revision/latest/scale-to-width-down/78?cb=20140826210408,
Cowboy Bob, https://vignette.wikia.nocookie.net/simpsons/images/d/d3/Cowboy_Bob2.png/revision/latest/scale-to-width-down/133?cb=20141025140420,
Robert Terwilliger, https://vignette.wikia.nocookie.net/simpsons/images/0/0a/Robert_Terwilliger_Tapped_Out.png/revision/latest/scale-to-width-down/80?cb=20171118020924,
Booberella, https://vignette.wikia.nocookie.net/simpsons/images/6/66/Booberella2.png/revision/latest/scale-to-width-down/40?cb=20140817114248,
Wendell Borton, https://vignette.wikia.nocookie.net/simpsons/images/5/59/Wendell_Borton.png/revision/latest/scale-to-width-down/64?cb=20180127034507,
Brittany Brockman, https://vignette.wikia.nocookie.net/simpsons/images/4/4b/Kent_Brockman%27s_Daughter.JPG/revision/latest/scale-to-width-down/109?cb=20131023180906,
Don Brodka, https://vignette.wikia.nocookie.net/simpsons/images/6/61/Don_brodka.jpg/revision/latest/scale-to-width-down/133?cb=20100425090913,
Lucille Botzcowski, https://vignette.wikia.nocookie.net/simpsons/images/a/a6/Lucille_Botzcowski_Tapped_Out.png/revision/latest/scale-to-width-down/110?cb=20151217015347,
Bumblebee Man, https://vignette.wikia.nocookie.net/simpsons/images/1/17/Bumblebee_Man.png/revision/latest/scale-to-width-down/78?cb=20131208162305,
Larry Burns, https://vignette.wikia.nocookie.net/simpsons/images/a/a7/Larry_burns.gif/revision/latest/scale-to-width-down/77?cb=20070617233210,
Capital City Goofball, https://vignette.wikia.nocookie.net/simpsons/images/1/15/Capital_City_Goofball.png/revision/latest/scale-to-width-down/85?cb=20170903212224,
Carl Carlson, https://vignette.wikia.nocookie.net/simpsons/images/c/c6/Carl_Carlson_-_shading.png/revision/latest/scale-to-width-down/48?cb=20180312061955,
Cesar, https://vignette.wikia.nocookie.net/simpsons/images/f/f7/C%C3%A9sarTSTO.png/revision/latest/scale-to-width-down/98?cb=20170520033632,
Gary Chalmers, https://vignette.wikia.nocookie.net/simpsons/images/f/f9/Gary_Chalmers.png/revision/latest/scale-to-width-down/71?cb=20130907221559,
Charlie (SNPP), https://vignette.wikia.nocookie.net/simpsons/images/e/e3/Charlie_%28SNPP%29.jpg/revision/latest/scale-to-width-down/133?cb=20100522182453,
Chazz Busby, https://vignette.wikia.nocookie.net/simpsons/images/0/0f/Chazz_Busby_pic.jpg/revision/latest/scale-to-width-down/133?cb=20130416161745,
Scott Christian, https://vignette.wikia.nocookie.net/simpsons/images/b/be/Scott.jpg/revision/latest/scale-to-width-down/133?cb=20071104051754,
Sebastian Cobb, https://vignette.wikia.nocookie.net/simpsons/images/5/50/Sebastian_Cobb_Tapped_Out.png/revision/latest/scale-to-width-down/66?cb=20150813081446,
Colin, https://vignette.wikia.nocookie.net/simpsons/images/d/d7/Colin.png/revision/latest/scale-to-width-down/133?cb=20130728183438,
Dr. Hector von Colossus, https://vignette.wikia.nocookie.net/simpsons/images/9/96/Dr._Colossus_Tapped_out.png/revision/latest/scale-to-width-down/70?cb=20150929075816,
Cora, https://vignette.wikia.nocookie.net/simpsons/images/0/0a/Cora.png/revision/latest/scale-to-width-down/133?cb=20100924204138,
Mr. Costington, https://vignette.wikia.nocookie.net/simpsons/images/7/77/Mr._Costington.png/revision/latest/scale-to-width-down/81?cb=20131213222646,
Arthur Crandall, https://vignette.wikia.nocookie.net/simpsons/images/b/ba/GabboAndArthurCrandallTSTO.png/revision/latest/scale-to-width-down/81?cb=20170904015454,
Joey Crusher, https://vignette.wikia.nocookie.net/simpsons/images/8/83/Joey_crusher.png/revision/latest/scale-to-width-down/90?cb=20111109021306,
Database, https://vignette.wikia.nocookie.net/simpsons/images/3/38/Database.png/revision/latest/scale-to-width-down/86?cb=20141025134735,
Declan Desmond, https://vignette.wikia.nocookie.net/simpsons/images/6/69/Declan_desmond_Tapped_Out.png/revision/latest/scale-to-width-down/60?cb=20150731065140,
Dewey Largo, https://vignette.wikia.nocookie.net/simpsons/images/b/b6/Dewey_Largo_Tapped_Out.png/revision/latest/scale-to-width-down/80?cb=20151223033531,
Dwight Diddlehopper, https://vignette.wikia.nocookie.net/simpsons/images/b/b7/600px-Dwight_David_Diddlehopper.png/revision/latest/scale-to-width-down/133?cb=20120216220816,
Disco Stu, https://vignette.wikia.nocookie.net/simpsons/images/4/47/Tapped_Out_Unlock_Disco_Stu.png/revision/latest/scale-to-width-down/70?cb=20150814211254,
Doug (nerd), https://vignette.wikia.nocookie.net/simpsons/images/6/6d/DougNerd.png/revision/latest/scale-to-width-down/80?cb=20170520032642,
Duffman, https://vignette.wikia.nocookie.net/simpsons/images/c/ce/Duff_man.png/revision/latest/scale-to-width-down/74?cb=20130808075436,
Eddie, https://vignette.wikia.nocookie.net/simpsons/images/c/c3/Eddie.png/revision/latest/scale-to-width-down/81?cb=20170903205857,
Happy Little Elves, https://vignette.wikia.nocookie.net/simpsons/images/b/bd/Happy_elves.jpg/revision/latest?cb=20120505213033,
Ernst, https://vignette.wikia.nocookie.net/simpsons/images/b/be/Viva3.png/revision/latest/scale-to-width-down/133?cb=20140811085017,
Fat Tony, https://vignette.wikia.nocookie.net/simpsons/images/6/6e/FatTony.PNG/revision/latest/scale-to-width-down/75?cb=20170101012836,
Fallout Boy, https://vignette.wikia.nocookie.net/simpsons/images/c/c4/Fallout_Boy.png/revision/latest/scale-to-width-down/103?cb=20180109220742,
Frankie the Squealer, https://vignette.wikia.nocookie.net/simpsons/images/9/9b/Frankie_the_Squealer_Tapped_Out.png/revision/latest/scale-to-width-down/66?cb=20150919053318,
Maude Flanders, https://vignette.wikia.nocookie.net/simpsons/images/9/95/Maude_Flanders.png/revision/latest/scale-to-width-down/87?cb=20171127151808,
Rod Flanders, https://vignette.wikia.nocookie.net/simpsons/images/8/80/Rod_Flanders.png/revision/latest/scale-to-width-down/43?cb=20140207181806,
Todd Flanders, https://vignette.wikia.nocookie.net/simpsons/images/1/18/Todd_Flanders.png/revision/latest/scale-to-width-down/84?cb=20131223200228,
Doris Freedman, https://vignette.wikia.nocookie.net/simpsons/images/3/37/Doris_Freedman.png/revision/latest/scale-to-width-down/91?cb=20180326044710,
Jonathan Frink, https://vignette.wikia.nocookie.net/simpsons/images/0/06/Professor_Frink.png/revision/latest/scale-to-width-down/65?cb=20161025234436,
Frog Prince, https://vignette.wikia.nocookie.net/simpsons/images/c/ce/Frog_Prince.png/revision/latest/scale-to-width-down/82?cb=20141102155011,
Gabbo, https://vignette.wikia.nocookie.net/simpsons/images/b/ba/GabboAndArthurCrandallTSTO.png/revision/latest/scale-to-width-down/81?cb=20170904015454,
Gary (nerd), https://vignette.wikia.nocookie.net/simpsons/images/8/8e/GaryNerd.png/revision/latest/scale-to-width-down/74?cb=20170520032828,
Gavin, https://vignette.wikia.nocookie.net/simpsons/images/7/75/Gavin.png/revision/latest/scale-to-width-down/133?cb=20100428223847,
Alice Glick, https://vignette.wikia.nocookie.net/simpsons/images/6/6d/Alice_Glick-0.png/revision/latest/scale-to-width-down/98?cb=20150427145502,
Gloria Jailbird, https://vignette.wikia.nocookie.net/simpsons/images/a/a0/Gloria.jpg/revision/latest/scale-to-width-down/133?cb=20111224225630,
Gloria (White Christmas Blues), https://vignette.wikia.nocookie.net/simpsons/images/6/6b/Gloria_%28White_Christmas_Blues%29.JPG/revision/latest/scale-to-width-down/85?cb=20131216181328,
Gloria's Husband, https://vignette.wikia.nocookie.net/simpsons/images/9/9f/Gloria%27s_Husband.JPG/revision/latest/scale-to-width-down/112?cb=20140321000542,
God, https://vignette.wikia.nocookie.net/simpsons/images/0/0e/God_%28The_Simpsons%29.png/revision/latest/scale-to-width-down/133?cb=20110922135521,
Grady, https://vignette.wikia.nocookie.net/simpsons/images/5/5f/GradyTSTO.png/revision/latest/scale-to-width-down/67?cb=20170708211900,
Frank Grimes, https://vignette.wikia.nocookie.net/simpsons/images/2/23/Frank_Grimes_Tapped_Out.png/revision/latest/scale-to-width-down/64?cb=20150523130350,
Frank Grimes, Jr., https://vignette.wikia.nocookie.net/simpsons/images/2/25/Frank_Grimes_Jr.png/revision/latest/scale-to-width-down/115?cb=20180512222755
Matt Groening (character), https://vignette.wikia.nocookie.net/simpsons/images/a/ae/Matt_Groening_Tapped_Out.png/revision/latest/scale-to-width-down/91?cb=20150928090937,
Barney Gumble, https://vignette.wikia.nocookie.net/simpsons/images/6/68/Barney_Gumble_-_shading.png/revision/latest/scale-to-width-down/70?cb=20180313200146,
Gil Gunderson, https://vignette.wikia.nocookie.net/simpsons/images/4/4e/Tapped_Out_Gil_Gunderson.png/revision/latest/scale-to-width-down/80?cb=20151010212214,
Gunter, https://vignette.wikia.nocookie.net/simpsons/images/b/be/Viva3.png/revision/latest/scale-to-width-down/133?cb=20140811085017,
Handsome Pete, https://vignette.wikia.nocookie.net/simpsons/images/b/bd/HandsomePete.png/revision/latest/scale-to-width-down/89?cb=20130623142322,
Judge Constance Harm, https://vignette.wikia.nocookie.net/simpsons/images/a/a3/Droca.png/revision/latest/scale-to-width-down/70?cb=20130821173210,
Herman Hermann, https://vignette.wikia.nocookie.net/simpsons/images/f/f3/Herman_Hermann.png/revision/latest/scale-to-width-down/62?cb=20131102201940,
Bernice Hibbert, https://vignette.wikia.nocookie.net/simpsons/images/5/5b/Bernice_Hibbert2.png/revision/latest/scale-to-width-down/67?cb=20140713154603,
Julius Hibbert, https://vignette.wikia.nocookie.net/simpsons/images/6/6a/Doctor_Hibbert.png/revision/latest/scale-to-width-down/103?cb=20070701065614,
Elizabeth Hoover, https://vignette.wikia.nocookie.net/simpsons/images/5/51/Misshoover_img.png/revision/latest/scale-to-width-down/54?cb=20140817105806,
Lionel Hutz, https://vignette.wikia.nocookie.net/simpsons/images/e/ed/Lionel_Hutz.png/revision/latest/scale-to-width-down/85?cb=20171127153913,
Itchy, https://vignette.wikia.nocookie.net/simpsons/images/2/24/Itchy.png/revision/latest/scale-to-width-down/115?cb=20180604193747,
Jack Lassen, https://vignette.wikia.nocookie.net/simpsons/images/6/63/Blazed_and_Confused_Promo_2.JPG/revision/latest/scale-to-width-down/133?cb=20141107181937,
Jeremy Jailbird, https://vignette.wikia.nocookie.net/simpsons/images/0/02/Jeremy_Jailbird.PNG/revision/latest/scale-to-width-down/57?cb=20180127034629,
Snake Jailbird, https://vignette.wikia.nocookie.net/simpsons/images/b/be/Snake_Jailbird.png/revision/latest/scale-to-width-down/74?cb=20131223201428,
Jake the Barber, https://vignette.wikia.nocookie.net/simpsons/images/8/8f/JakeTheBarber.png/revision/latest/scale-to-width-down/90?cb=20171127152453,
Jacques, https://vignette.wikia.nocookie.net/simpsons/images/2/29/JacquesTSTO.png/revision/latest/scale-to-width-down/90?cb=20170523015357,
Comic Book Guy, https://vignette.wikia.nocookie.net/simpsons/images/9/9d/Comic_Book_Guy.png/revision/latest/scale-to-width-down/90?cb=20140825023038,
Jeremy Freedman, https://vignette.wikia.nocookie.net/simpsons/images/d/df/Jeremy_Freedman.png/revision/latest/scale-to-width-down/63?cb=20130424173737,
Jericho, https://vignette.wikia.nocookie.net/simpsons/images/f/f9/Jerhico.jpg/revision/latest/scale-to-width-down/133?cb=20080401212354,
Joey (mafia), https://vignette.wikia.nocookie.net/simpsons/images/a/a6/Joey_%28mafia%29.png/revision/latest/scale-to-width-down/133?cb=20140403102013,
John (Homer's Phobia), https://vignette.wikia.nocookie.net/simpsons/images/2/28/John_Homer%27s_Phobia.png/revision/latest/scale-to-width-down/133?cb=20130726072405,
Jimbo Jones, https://vignette.wikia.nocookie.net/simpsons/images/1/1d/Jimbo.png/revision/latest/scale-to-width-down/38?cb=20140817111540,
Rachel Jordan, https://vignette.wikia.nocookie.net/simpsons/images/b/b0/Rachel_Jordan_Tapped_Out.PNG/revision/latest/scale-to-width-down/72?cb=20170807203733,
Julio, https://vignette.wikia.nocookie.net/simpsons/images/6/60/Julio_Unlock.png/revision/latest/scale-to-width-down/61?cb=20170706184950,
Kang, https://vignette.wikia.nocookie.net/simpsons/images/d/d4/Tapped_Out_Unlock_Kang.png/revision/latest/scale-to-width-down/80?cb=20180529210835,
Princess Kashmir, https://vignette.wikia.nocookie.net/simpsons/images/7/73/Princess_Kashmir_Tapped_Out.png/revision/latest/scale-to-width-down/82?cb=20150806200304,
Kent Brockman, https://vignette.wikia.nocookie.net/simpsons/images/0/0d/Kent_Brockman_-_shading.png/revision/latest/scale-to-width-down/63?cb=20130910064845,
Kodos, https://vignette.wikia.nocookie.net/simpsons/images/d/d8/Tapped_Out_Kodos.png/revision/latest/scale-to-width-down/75?cb=20180529211456,
Leon Kompowsky, https://vignette.wikia.nocookie.net/simpsons/images/d/d8/LeonKompowskyTSTO.png/revision/latest/scale-to-width-down/92?cb=20170807233920,
Coach Krupt, https://vignette.wikia.nocookie.net/simpsons/images/d/de/Kou%C4%8D.png/revision/latest/scale-to-width-down/57?cb=20130821172738,
Rabbi Hyman Krustofsky, https://vignette.wikia.nocookie.net/simpsons/images/5/5e/Hyman_Krustofski_%28Official_Image%29.png/revision/latest/scale-to-width-down/58?cb=20170903210108,
Kumiko Albertson, https://vignette.wikia.nocookie.net/simpsons/images/c/c6/Kumiko.png/revision/latest/scale-to-width-down/63?cb=20140109191742,
Cookie Kwan, https://vignette.wikia.nocookie.net/simpsons/images/f/fd/Cookie_Kwan_Tapped_Out.png/revision/latest/scale-to-width-down/63?cb=20180421034047,
Chester J. Lampwick, https://vignette.wikia.nocookie.net/simpsons/images/7/72/Chester-J-Lampwick.png/revision/latest/scale-to-width-down/86?cb=20141128214725,
Lard Lad, https://vignette.wikia.nocookie.net/simpsons/images/2/2c/Lard_Lad.gif/revision/latest/scale-to-width-down/65?cb=20071215181655,
Larry (barfly), https://vignette.wikia.nocookie.net/simpsons/images/c/cc/Larry.png/revision/latest/scale-to-width-down/59?cb=20180127034424,
The Leader, https://vignette.wikia.nocookie.net/simpsons/images/f/f7/The_Leader.jpg/revision/latest/scale-to-width-down/133?cb=20080328142036,
Legs, https://vignette.wikia.nocookie.net/simpsons/images/6/6f/Legs.png/revision/latest/scale-to-width-down/40?cb=20130807071529,
